review_id,review_text,sentiment
30,"This speaker exceeded my expectations, highly recommend.",positive
542,"The watch stopped working within a week, awful.",negative
166,"Super happy with this backpack, worth every penny.",positive
249,"Amazing experience with this jacket, five stars!",positive
308,"I absolutely love this vacuum, best purchase ever!",positive
448,Really impressed with the quality of this headphones.,positive
347,"This tablet is exactly what I needed, love it.",positive
335,"I absolutely love this lamp, best purchase ever!",positive
286,"Great quality backpack, will buy again for sure.",positive
950,"The blender is fine, meets basic expectations.",neutral
98,"Fantastic lamp, exceeded all my expectations.",positive
468,"This jacket exceeded my expectations, highly recommend.",positive
1037,"The laptop is okay, does what it says.",neutral
913,"The charger arrived on time, no complaints.",neutral
756,"Worst keyboard I have ever purchased, total garbage.",negative
945,"The charger is fine, meets basic expectations.",neutral
614,"Poor quality jacket, would not recommend to anyone.",negative
802,"Worst backpack I have ever purchased, total garbage.",negative
758,"Very disappointed with this shoes, waste of money.",negative
689,"Worst vacuum I have ever purchased, total garbage.",negative
66,The vacuum works perfectly and looks fantastic.,positive
794,"This monitor was a complete letdown, returning it.",negative
744,"Regret buying this watch, quality is very poor.",negative
568,"Poor quality monitor, would not recommend to anyone.",negative
1084,"Not bad, not great, just an average chair.",neutral
1099,Reasonable jacket for casual use.,neutral
303,"This tablet is exactly what I needed, love it.",positive
255,"Amazing experience with this speaker, five stars!",positive
959,Reasonable headphones for casual use.,neutral
1024,"Not bad, not great, just an average speaker.",neutral
313,"I absolutely love this watch, best purchase ever!",positive
530,"Poor quality headphones, would not recommend to anyone.",negative
222,Really impressed with the quality of this blender.,positive
389,The book works perfectly and looks fantastic.,positive
236,"Excellent speaker, fast shipping and great service.",positive
810,"Very disappointed with this toy, waste of money.",negative
483,"Great quality shoes, will buy again for sure.",positive
713,"Not worth the price, camera feels cheaply made.",negative
306,"This watch is exactly what I needed, love it.",positive
1111,"It's an okay blender, would consider alternatives next time.",neutral
1090,"Not bad, not great, just an average backpack.",neutral
772,"Extremely frustrated with this monitor, does not work as advertised.",negative
917,"Average tablet, nothing special but works fine.",neutral
1139,"The watch is okay, does what it says.",neutral
250,"This toy is exactly what I needed, love it.",positive
760,"The keyboard stopped working within a week, awful.",negative
595,"Regret buying this phone case, quality is very poor.",negative
72,"This toy exceeded my expectations, highly recommend.",positive
95,"Amazing experience with this blender, five stars!",positive
546,"Regret buying this book, quality is very poor.",negative
34,"Super happy with this watch, worth every penny.",positive
862,"Terrible chair, broke after one use.",negative
579,"Extremely frustrated with this monitor, does not work as advertised.",negative
449,"Excellent laptop, fast shipping and great service.",positive
446,"Fantastic toy, exceeded all my expectations.",positive
260,"Excellent jacket, fast shipping and great service.",positive
205,"Amazing experience with this tablet, five stars!",positive
573,"Regret buying this laptop, quality is very poor.",negative
824,"The backpack stopped working within a week, awful.",negative
586,"Extremely frustrated with this mouse, does not work as advertised.",negative
366,Really impressed with the quality of this camera.,positive
812,"Terrible monitor, broke after one use.",negative
78,"Super happy with this chair, worth every penny.",positive
85,"Fantastic headphones, exceeded all my expectations.",positive
539,"The tablet stopped working within a week, awful.",negative
83,"This lamp exceeded my expectations, highly recommend.",positive
458,"Great quality camera, will buy again for sure.",positive
1138,"Not bad, not great, just an average watch.",neutral
615,"Very disappointed with this monitor, waste of money.",negative
1186,"It's an okay headphones, would consider alternatives next time.",neutral
1076,"Not bad, not great, just an average blender.",neutral
737,"Not worth the price, phone case feels cheaply made.",negative
437,"Amazing experience with this vacuum, five stars!",positive
555,"This tablet was a complete letdown, returning it.",negative
1080,"It's an okay lamp, would consider alternatives next time.",neutral
1062,"Standard backpack, works as expected.",neutral
351,"Fantastic watch, exceeded all my expectations.",positive
197,"Amazing experience with this monitor, five stars!",positive
465,"This tablet is exactly what I needed, love it.",positive
589,"Extremely frustrated with this camera, does not work as advertised.",negative
6,"I absolutely love this tablet, best purchase ever!",positive
311,"Excellent headphones, fast shipping and great service.",positive
662,The chair arrived damaged and customer service was unhelpful.,negative
405,The laptop works perfectly and looks fantastic.,positive
1196,"The jacket is okay, does what it says.",neutral
1044,"Standard mouse, works as expected.",neutral
1058,"It's an okay keyboard, would consider alternatives next time.",neutral
105,The shoes works perfectly and looks fantastic.,positive
537,"This laptop was a complete letdown, returning it.",negative
606,"Worst jacket I have ever purchased, total garbage.",negative
63,"Fantastic jacket, exceeded all my expectations.",positive
282,The headphones works perfectly and looks fantastic.,positive
1056,Reasonable charger for casual use.,neutral
239,"Amazing experience with this backpack, five stars!",positive
224,"Excellent charger, fast shipping and great service.",positive
146,"This watch exceeded my expectations, highly recommend.",positive
1119,Reasonable keyboard for casual use.,neutral
374,"This phone case exceeded my expectations, highly recommend.",positive
119,"Fantastic keyboard, exceeded all my expectations.",positive
803,"Regret buying this headphones, quality is very poor.",negative
251,"This watch exceeded my expectations, highly recommend.",positive
1157,"Not bad, not great, just an average mouse.",neutral
10,"Fantastic phone case, exceeded all my expectations.",positive
450,Really impressed with the quality of this charger.,positive
874,"Extremely frustrated with this chair, does not work as advertised.",negative
390,"Fantastic lamp, exceeded all my expectations.",positive
966,"The book is okay, does what it says.",neutral
461,"Super happy with this book, worth every penny.",positive
1147,"The toy does the job, nothing more nothing less.",neutral
145,"This toy exceeded my expectations, highly recommend.",positive
502,"Regret buying this lamp, quality is very poor.",negative
1108,"The charger does the job, nothing more nothing less.",neutral
540,"Extremely frustrated with this shoes, does not work as advertised.",negative
178,"Amazing experience with this chair, five stars!",positive
1159,"Not bad, not great, just an average headphones.",neutral
1051,Reasonable jacket for casual use.,neutral
584,"Very disappointed with this jacket, waste of money.",negative
1195,Reasonable headphones for casual use.,neutral
8,"Amazing experience with this keyboard, five stars!",positive
574,"The monitor stopped working within a week, awful.",negative
843,"Extremely frustrated with this blender, does not work as advertised.",negative
358,"Amazing experience with this jacket, five stars!",positive
330,The jacket works perfectly and looks fantastic.,positive
705,"Not worth the price, tablet feels cheaply made.",negative
830,"Not worth the price, speaker feels cheaply made.",negative
259,"This chair exceeded my expectations, highly recommend.",positive
891,"Worst headphones I have ever purchased, total garbage.",negative
834,"Regret buying this monitor, quality is very poor.",negative
1188,Reasonable vacuum for casual use.,neutral
905,"The vacuum does the job, nothing more nothing less.",neutral
526,"Extremely frustrated with this charger, does not work as advertised.",negative
814,"Poor quality watch, would not recommend to anyone.",negative
732,"Extremely frustrated with this mouse, does not work as advertised.",negative
1032,"The book is okay, does what it says.",neutral
1141,"The watch is fine, meets basic expectations.",neutral
441,Really impressed with the quality of this speaker.,positive
532,The headphones arrived damaged and customer service was unhelpful.,negative
960,"The vacuum is fine, meets basic expectations.",neutral
229,"I absolutely love this tablet, best purchase ever!",positive
1041,"Average phone case, nothing special but works fine.",neutral
213,"Excellent keyboard, fast shipping and great service.",positive
80,"Super happy with this blender, worth every penny.",positive
149,Really impressed with the quality of this blender.,positive
592,The lamp arrived damaged and customer service was unhelpful.,negative
708,"Regret buying this charger, quality is very poor.",negative
590,"Not worth the price, blender feels cheaply made.",negative
134,The jacket works perfectly and looks fantastic.,positive
782,"Regret buying this jacket, quality is very poor.",negative
409,"I absolutely love this lamp, best purchase ever!",positive
970,"It's an okay backpack, would consider alternatives next time.",neutral
508,"Worst jacket I have ever purchased, total garbage.",negative
877,"This backpack was a complete letdown, returning it.",negative
505,"Worst book I have ever purchased, total garbage.",negative
719,"Very disappointed with this tablet, waste of money.",negative
348,"Excellent blender, fast shipping and great service.",positive
387,"Great quality vacuum, will buy again for sure.",positive
1,"I absolutely love this blender, best purchase ever!",positive
361,"I absolutely love this charger, best purchase ever!",positive
1134,"The charger is fine, meets basic expectations.",neutral
